Dish Name,Category,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
Russian salad,Veg,114.83,6.5,4.26,7.84
Pasta salad,Veg,190.36,12.7,4.15,13.92
Deviled egg,Egg,98.56,2.23,4.97,7.72
Hawain salad,Non-Veg,175.23,14.35,4.27,11.37
Mixed pulse and vegetable salad,Veg,83.12,13.96,4.74,0.84
Sprouted moong salad,Veg,37.81,5.48,2.29,0.74
Tossed salad,Veg,62.96,4.95,1.02,4.22
Mixed vegetable salad with curd sauce,Veg,60.28,7.03,4.23,1.5
Potato salad (Aloo ka salaad),Veg,89.91,11.19,1.4,4.4
Waldroff salad,Veg,141.75,11.02,1.47,10.05
Coleslaw,Veg,76.71,5.59,1.24,5.32
Fruit salad (Phalon ka salaad),Veg,78.14,15.96,0.91,1.22
Tomato onion raita,Veg,59.0,7.08,3.74,1.84
Peanut raita (Mungfali ka raita),Veg,150.39,9.3,8.59,8.98
Sprouted moong raita,Veg,60.89,6.13,4.62,2.19
Bottle gourd raita (Ghiya/Lauki ka raita),Veg,56.31,5.76,3.98,2.07
Cucumber raita (Kheere ka raita),Veg,59.13,6.35,4.04,2.08
Carrot and spinach raita,Veg,56.83,5.83,4.0,1.99
Mint raita (Pudinay ka raita),Veg,77.59,7.65,5.64,2.96
Potato raita (Aloo ka raita),Veg,75.38,10.24,4.22,2.04
Boondi raita,Veg,687.72,3.96,2.19,73.83
Sweet raita (Meetha raita),Veg,99.24,17.93,3.24,1.78
Dahi vadas/Dahi bhalla,Veg,667.73,5.49,2.96,70.4
Gunjia,Veg,667.34,5.68,2.98,70.28
Saunth/Sonth chutney with tamarind/imli,Veg,141.53,33.55,1.01,0.15
Rice kheer (Chawal ki kheer),Veg,75.03,10.05,2.3,2.97
Makhana kheer,Veg,107.85,12.88,3.31,5.0
Vermicelli kheer (Semiya/Seviyan ki kheer),Veg,120.07,15.87,3.35,5.0
Semolina kheer (Suji/Rava kheer),Veg,113.21,15.88,3.43,4.2
Paneer kheer,Veg,105.31,10.03,4.53,5.37
Cabbage kheer (Pattagobhi ki kheer),Veg,83.51,9.73,2.87,3.8
Carrot kheer (Gajar ki kheer),Veg,85.35,10.09,2.81,3.85
Cauliflower kheer (Phoolgobhi ki kheer),Veg,81.95,8.78,3.04,3.95
Moong dal kheer,Veg,77.16,9.89,2.95,2.97
Phirni,Veg,116.12,16.11,3.49,4.34
Semolina halwa (Suji ka halwa),Veg,225.65,24.67,2.16,13.38
Shahi suji halwa,Veg,382.34,44.44,3.48,21.73
Carrot halwa (Gajar ka halwa),Veg,172.64,18.53,3.11,9.73
Egg halwa (Ande ka halwa),Egg,299.74,39.59,7.85,13.41
Potato halwa (Aloo ka halwa),Veg,151.66,29.18,1.53,3.48
Pumpkin halwa (Kaddu ka halwa),Veg,190.27,27.6,1.33,8.81
Moong dal halwa,Veg,349.8,40.23,8.35,17.68
Caramel custard (steamed),Veg,121.58,15.02,4.97,4.87
Baked custard,Veg,106.53,9.45,5.41,5.3
Soft Custard (stirred),Veg,109.18,11.19,5.01,5.07
Chocolate ice cream,Veg,177.7,15.41,4.47,11.25
Mango ice cream,Veg,125.69,11.14,3.4,7.62
Fruit Ice cream (Phalon ka Ice cream),Veg,171.46,16.05,4.37,10.38
Caramel ice cream,Veg,173.52,14.81,4.31,11.15
Lemon souffle,Veg,168.51,13.43,6.95,10.02
Orange souffle,Veg,168.28,14.2,6.8,9.73
Vanilla souffle,Veg,187.85,14.78,7.71,11.19
Chocolate souffle,Veg,189.32,14.74,7.88,11.36
Pineapple souffle,Veg,196.14,15.52,8.06,11.72
Apple mousse,Veg,106.92,12.77,4.21,4.27
Rich chocolate mousse,Veg,188.26,10.84,7.96,12.19
Mango mousse,Veg,124.98,9.14,3.21,8.47
Orange and pineapple cream,Veg,101.18,11.96,1.44,5.43
Charlotte rousse,Veg,188.29,34.08,3.95,4.78
Triffle pudding,Veg,116.97,18.24,2.93,3.93
Snow flakes pudding,Veg,95.21,8.07,4.67,4.97
Kulfi,Veg,98.43,11.3,3.21,4.7
Steamed orange pudding,Veg,278.03,41.53,2.34,12.04
Meringue and rice pudding,Veg,112.93,14.6,4.84,4.05
Cheese pudding,Veg,285.01,19.27,11.29,18.37
Chocolate pudding,Veg,211.96,29.59,3.55,9.48
Bread and butter pudding,Veg,167.94,19.63,5.59,7.88
Queen of pudding,Veg,132.92,16.35,5.51,5.38
Pineapple upside down pudding,Veg,257.73,35.73,3.15,11.91
Date and nut pie,Veg,322.42,46.86,3.93,13.31
Stewed apple with custard,Veg,92.87,18.36,1.27,1.82
Apple snowballs,Veg,101.51,24.58,0.86,0.31
Hot orange souffle,Veg,179.97,18.77,6.87,8.95
Hot chocolate souffle,Veg,226.09,26.21,6.7,11.1
Hot vanilla souffle,Veg,192.93,21.77,6.87,9.07
Plain burfi (Burfi),Veg,408.32,30.88,9.82,27.96
Coconut burfi (Nariyal ki burfi),Veg,467.64,32.15,8.81,34.63
Bottle gourd burfi (Ghiya/Lauki burfi),Veg,275.96,24.51,5.86,17.68
Chocolate burfi,Veg,339.33,33.15,13.0,17.86
Cashewnut burfi (Kaju burfi/Kaju katli),Veg,421.74,37.92,5.48,28.46
Gram flour burfi (Besan burfi),Veg,421.79,46.59,11.19,22.41
Semolina ladoo with khoya,Veg,428.71,52.86,6.71,21.86
Semolina ladoo with coconut,Veg,464.43,50.9,5.68,27.03
Gram flour ladoo (Besan ladoo),Veg,476.91,62.61,8.93,22.76
Sesame ladoo (Til ke ladoo),Veg,396.96,43.5,10.7,19.64
Chenna murki,Veg,252.69,36.01,10.46,8.2
Milk cake,Veg,127.41,9.13,3.01,8.93
Ghujia/Lavang latika,Veg,768.98,13.0,1.86,78.93
Gulab Jamun with khoya,Veg,586.06,26.09,2.03,53.23
Mal pua,Veg,566.68,17.56,1.71,54.64
Shahi tukre,Veg,189.81,41.46,2.76,2.54
Potato pakora/pakoda (Aloo pakoda),Veg,677.19,6.04,1.9,71.84
Onion pakora/pakoda (Pyaaz ke pakode),Veg,674.61,5.41,1.9,71.84
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),Veg,671.63,4.52,1.98,71.86
Mixed vegetable pakora/pakoda,Veg,673.81,5.12,1.94,71.86
Spinach pakora/pakoda (Palak pakoda),Veg,712.62,4.68,1.96,76.38
Methi pakora/pakoda (Methi ke pakode),Veg,713.25,4.68,2.06,76.39
Egg pakora/pakoda (Ande ke pakode),Egg,710.51,4.48,2.83,75.86
Bread pakora/pakoda,Veg,710.99,8.87,2.57,74.2
Paneer pakora/pakoda,Veg,718.12,5.52,3.27,76.05
Potato bonda (Aloo bonda),Veg,632.84,4.53,1.09,67.8
Potato samosa (Aloo ka samosa),Veg,577.39,9.21,1.71,59.19
Minced meat samosa (Keema ka samosa),Non-Veg,620.99,6.14,4.43,64.26
Paneer and pea samosa (Paneer matar ka samosa),Veg,623.81,8.55,4.02,63.65
Mathri,Veg,805.12,12.32,1.75,83.1
Khasta kachori,Veg,712.73,12.81,2.51,72.27
Vegetable cutlet,Veg,665.45,4.68,1.25,71.33
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),Veg,701.71,7.39,1.76,73.89
Peanut cutlet (Mungfali ke cutlet),Veg,698.77,5.68,2.63,74.0
Fish cutlet (Machli ka cutlet),Non-Veg,654.64,3.13,2.77,70.11
Paneer potato cutlet (Paneer aloo cutlet),Veg,672.94,5.23,2.47,71.4
Spinach chickpeas cutlet (Palak channa dal cutlet),Veg,688.03,4.93,1.44,73.6
Cheese toast,Veg,785.37,5.49,1.98,84.11
Vegetable burger,Veg,519.93,13.69,3.26,50.63
Cheese pizza,Veg,249.5,30.62,5.79,12.43
Vegetable seekh kebab,Veg,690.73,5.32,1.57,73.72
Masala vada,Veg,826.02,4.06,1.69,89.15
Peanut sago vada (Sabudana mungfali vada),Veg,749.89,7.14,1.01,79.82
Vegeterian scotch egg,Egg,681.67,4.64,2.16,72.77
Paneer shaslik/tikka,Veg,93.85,7.98,5.11,4.49
Peanut brittle (Moongfali ki chikki),Veg,320.46,47.46,6.94,11.13
Spring roll,Veg,623.87,8.56,1.81,64.63
Dry mango chutney (Sookhe aam ki chutney),Veg,298.13,69.17,2.43,0.7
Peanut chutney (Mungfali ki chutney),Veg,258.37,9.87,11.8,19.06
Coconut chutney (Nariyal ki chutney),Veg,265.92,8.29,3.59,25.0
Mint and coriander chutney,Veg,102.6,21.18,2.81,0.51
Custard tart,Veg,225.6,28.66,3.72,10.73
Lemon tart,Veg,303.35,30.68,6.12,17.45
Jam tart,Veg,360.72,46.18,4.42,17.35
Orange cream tart,Veg,197.16,27.43,2.58,8.72
Pineapple tart,Veg,195.4,28.62,2.29,8.21
Cheese and mushroom tart,Veg,246.1,21.43,5.51,15.28
Cottage cheese pie,Veg,238.98,20.66,7.45,13.83
Minced meat pie,Non-Veg,221.55,18.11,7.38,13.04
Apple cinnamon pie,Veg,258.73,33.68,3.35,12.21
Lemon meringue pie,Veg,224.43,35.11,3.88,8.16
Chocolate meringue pie,Veg,214.76,28.8,4.98,9.17
Cream puffs,Veg,221.33,16.0,4.7,15.48
Chocolate eclairs,Veg,239.42,26.22,4.24,13.5
Cheese balls,Veg,681.28,4.81,2.21,72.57
Minced meat patties,Non-Veg,265.72,15.25,6.88,19.57
Cheese patties,Veg,324.01,22.23,7.38,22.67
Hot cheese souffle,Veg,177.1,5.41,9.18,13.23
Hot potato souffle,Veg,125.64,8.56,5.51,7.64
Hot fish souffle,Non-Veg,142.92,3.69,11.23,9.24
Hot spinach souffle,Veg,104.25,4.19,5.43,7.24
Plain cream cake,Veg,353.94,47.18,6.18,16.17
Apple cake (Seb ka cake),Veg,290.08,39.48,4.94,12.87
Marble cake,Veg,354.11,46.88,6.3,16.27
Chocolate cake,Veg,335.61,45.14,6.01,15.18
Orange cake,Veg,357.61,48.28,6.1,16.21
Fruit Loaf,Veg,324.19,46.49,5.36,13.31
Banana cake (Kele ka cake),Veg,389.51,40.0,5.77,23.31
Chocolate chiffon cake,Veg,311.71,37.87,5.76,15.8
Christmas cake,Veg,372.95,48.29,5.49,16.88
Strawberry and vanilla cake with butter icing,Veg,370.54,44.25,3.89,20.39
Eggless cake,Veg,318.08,46.14,8.12,11.75
Swiss roll,Veg,251.87,48.34,7.3,3.77
Pineapple pastry,Veg,208.21,29.04,6.06,7.87
Black forest pastry,Veg,233.55,34.48,6.09,8.46
Coconut finger,Veg,274.86,42.56,7.09,8.86
Pineapple cake,Veg,195.57,23.51,5.01,9.34
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),Veg,424.8,47.1,6.56,23.62
Chocolate chip cookies,Veg,425.29,57.98,5.79,19.38
Sweet plain biscuit,Veg,380.76,50.29,5.86,17.67
Chocolate biscuit,Veg,379.76,51.56,5.88,17.09
Coconut biscuit (Nariyal ke biscuit),Veg,434.98,42.9,5.78,27.16
Sweet and salty biscuit (Meethay aur namkeen biscuit),Veg,407.96,45.09,6.15,22.39
Peanut biscuit,Veg,401.05,46.72,8.45,20.41
Pin wheel biscuit,Veg,404.6,54.56,5.4,18.66
Saffron biscuit (Kesar biscuit),Veg,458.61,59.7,6.05,22.01
Masala biscuit,Veg,393.64,45.18,6.06,20.75
Ice box cookies,Veg,374.24,56.09,5.7,14.44
Ginger bread man,Veg,365.0,60.26,6.61,11.01
Danish cookies,Veg,475.33,58.0,5.33,24.92
Short bread cookies,Veg,443.09,64.82,6.03,17.98
Coffee biscuit,Veg,416.57,46.55,6.9,23.0
Melting moments,Veg,437.91,55.84,5.71,21.78
Ginger biscuit (Adrak ke biscuit),Veg,417.91,58.44,5.98,18.31
Soyabean muthias,Veg,839.33,3.7,2.46,90.45
Soyabean tikki,Veg,698.17,4.39,3.53,74.02
Soyabean namak paras,Veg,838.46,4.65,2.65,89.83
Peanut burfi (Moongfali ki burfi),Veg,550.99,48.14,9.31,36.84
